append-to,text,href
#g-drive,Переписка,https://drive.google.com/file/d/1rgivTKDZGtMjLI1OgOV0JkWmi7w-6f_b/view?usp=sharing
#g-drive,Успехи нашей команды,https://drive.google.com/open?id=1wg6Uh5jnhOX9eAWBH__v3mXb8pjD68B4
#g-drive,Пробники,https://drive.google.com/open?id=1tetJSw1giX6c8IBVUNTI5vUzM25iLP5p
#schools,Business start 1(новая),https://youtu.be/ouCZLJXa8ek
#schools,Business start 2(новая),https://youtu.be/PEopyNnp2Yc
#schools,Business start 3(новая),https://youtu.be/2LwmOqLxQhg
#schools,Business start 4(новая),https://youtu.be/aHiFHOYVFhE
#useful-tutorials,Как проверить своб структуру,https://youtu.be/9GTC9bgHaqk
#g-drive,Сопровождение новичка (рус),https://docs.google.com/document/d/1RuVJTf9OTNz1o4hKzN2OBoDsIIa1l-JOmu2Km9aTRCA/edit
#g-drive,Сопровождение новичка (рум),https://docs.google.com/document/d/1y7v6K4FFYwPYRCG5DkaschZp2j4yxkr_sPP-01UmSXU/edit
#presentations,Ольга Кибис "на салфетках",https://youtu.be/02lTcIA0ahQ
#online-lessons,Рекрутинг на досках,https://youtu.be/qNLLycHTQTY?list=PLX00x5agn5GRv5OCoHA21ldA4_iDKHZS3
#online-lessons,Рекрутинг в вк,https://youtu.be/IGsmemuFyuc?list=PLX00x5agn5GRv5OCoHA21ldA4_iDKHZS3
#online-lessons,Рекрутинг на Фейсбуке,https://youtu.be/HM66vGQK24M
#online-lessons,Ошибки при рекрутинге,https://youtu.be/NEIbo_6xKac
